id,__v,_id,name,type,onMap,overX,overZ,owner,isBank,radius,isCourt,netherX,netherZ,dateFrom,isOffice,createdAt,updatedAt,colorNether,description,isProhibition
727,0,650ef5a5cf063d67c093346f,"Территория игрока
FOXDRE1",База,false,-8627,7814,FOXDRE1,false,100,false,-1078,976,01.06.2023,false,2023-09-23T14:26:45.061Z,2023-09-23T14:26:45.061Z,blue,-,false
726,0,650ef5a4cf063d67c093346b,база левши,База,false,2200,-14000,Dekadanse,false,1000,false,250,-1750,31.05.2023,false,2023-09-23T14:26:44.978Z,2023-09-25T08:08:17.466Z,red,"Несколько поселений, расположенных на архипелаге, которые постоянно конфликтуют, торгуют и дружат друг с другом.",false
725,0,650ef5a4cf063d67c0933467,Терра Sauri_ и wa1ne,База,false,13177,-3633,Sauri_,false,500,false,1645,-464,28.05.2023,false,2023-09-23T14:26:44.895Z,2023-09-23T14:26:44.895Z,green,-,false
724,0,650ef5a4cf063d67c0933463,гаваиские астрава,База,false,-16100,-22289,oTcocy_3A_500AP,false,2000,false,-2012,-2786,28.05.2023,false,2023-09-23T14:26:44.811Z,2023-09-23T14:26:44.811Z,red,писать я люблю,false
723,0,650ef5a4cf063d67c093345f,"Фермы _waw""а",База,false,-22500,20500,_waw,false,1000,false,-2812,2562,28.05.2023,false,2023-09-23T14:26:44.728Z,2023-09-23T14:26:44.728Z,blue,Фермы и территория игрока _waw,false
722,0,650ef5a4cf063d67c093345b,база да да,База,false,14210,-6650,Barsik00_,false,500,false,1782,-843,27.05.2023,false,2023-09-23T14:26:44.645Z,2023-09-23T14:26:44.645Z,green,-,false
721,0,650ef5a4cf063d67c0933457,Мега база,База,false,2728,-21723,MrPlatoch_,false,500,false,348,-2715,26.05.2023,false,2023-09-23T14:26:44.561Z,2023-09-23T14:26:44.561Z,red,Жёсткая база игрока MrPlatoch_,false
720,0,650ef5a4cf063d67c0933453,Шоколадный Остров,База,false,-1200,-17890,Nutalen,false,2000,false,-120,-2236,26.05.2023,false,2023-09-23T14:26:44.475Z,2023-09-23T14:26:44.475Z,red,"Остров-частная тера Nutalen""а ",false
719,0,650ef5a4cf063d67c093344f,ТерраристTerraria,База,false,-4630,-18897,Void_sky_  ,false,700,false,-569,-2358,26.05.2023,false,2023-09-23T14:26:44.391Z,2023-09-23T14:26:44.391Z,red,База любителя террарии у меня в этой игре 15 минут очень люблю её игра топ,false
718,0,650ef5a4cf063d67c093344b,Нисторленд,База,false,9111,-9704, Parado4x,false,2000,false,1142,-1206,23.05.2023,false,2023-09-23T14:26:44.307Z,2023-09-23T14:26:44.307Z,red,"Новый город, с уникальной стилистекой",false
717,0,650ef5a4cf063d67c0933447,_KripYt_ (Опечатано ФБР),База,false,-17000,1400,5opka,false,500,false,-2102,183,23.05.2023,false,2023-09-23T14:26:44.223Z,2023-10-14T07:39:57.954Z,blue,просто база _KripYt_,false
716,0,650ef5a4cf063d67c0933443,SungВинея,База,false,893,-9080,SungTher,false,200,false,113,-1135,22.05.2023,false,2023-09-23T14:26:44.139Z,2023-09-23T14:26:44.139Z,red,четкая база крутого игрока,false
715,0,650ef5a4cf063d67c093343f,База клепы,База,false,-22088,5064,Stolox66,false,1000,false,-2761,633,21.05.2023,false,2023-09-23T14:26:44.056Z,2023-09-23T14:26:44.056Z,blue,cool,false
714,0,650ef5a3cf063d67c093343b,База бурильщика,База,false,22100,-2200,AnalniyBuravchik,false,1700,false,2762,-275,21.05.2023,false,2023-09-23T14:26:43.972Z,2023-09-23T14:26:43.972Z,green,База анального буравчика,false
713,0,650ef5a3cf063d67c0933437,Территория Ulyban'a,База,false,264,22670,Ulyban,false,384,false,33,2833,20.05.2023,false,2023-09-23T14:26:43.888Z,2023-09-23T14:26:43.888Z,yellow,"Зeлёная поляна с 
холмом",false
