,,,,,,,,,,
,,,,,,,,,,
№,РЕЕСТ ЗАРЕГИСТРИРОВАННЫХ БАЗ СП5 (ВЕДЁТСЯ МИНИСТЕРСТВОМ ЮСТИЦИИ),,,,,,,,,
,ОБЩАЯ ХАРАКТЕРИСТИКА,,,КООРДИНАТЫ,,,,,РЕГИСТРАЦИЯ ТЕРРИТОРИИ,
,,,,Верхний мир,,,Нижний мир,,,
,Название,Описание,Владелец,X,Z,Радиус,X,Z,Дата,Ссылка на пост
108,Охуэлос,-,Catogg_,3980,17075,1500,500,2130,07.10.2022,https://vk.com/wall-131054616_87841
109,ГуммиЛэнд,Кучерявенькая база человечка под ником GummyFun,GummyFun,-17400,-17650,2000,-2175,-2206,07.10.2022,https://vk.com/wall-131054616_87845
110,Латайрис,-,KEHE3,-1235,14880,1000,-155,1860,08.10.2022,
111,Колония терлизы,-,LeftCrafty,18180,-900,2270,2270,-115,07.10.2022,"https://vk.com/wall-131054616_87838
"
112,Ty3uK Land,Личная территория Ty3uK_'a,Ty3uK_,20054,11548,1000,2441,1456,10.10.2022,https://vk.com/topic-131054616_48663772?post=4233
113,ТСКП,"Территориальный союз крутых перцев, попозже будет дополнено",JluKBuDuPoBaH,:-13500,-13500,2000,-1680,-1680,07.06.2022,https://vk.com/topic-131054616_48663772?post=3718
114,Мангровая Народная Республика ,-,GWortex,17810,314,150,2222,40,11.10.2022,https://vk.com/wall-131054616_87875
115,база игрока steven20081,я большой чебурек,steven20081,-16000,13360,800,-2000,1670,11.10.2022,https://vk.com/wall-131054616_87879
116,СуеТокио-3,Бывший Токио-2 Перенесенный после битвы с ангелами в страну подписчиков,X_Beelzebub_X,831,-19824,500,123,-2483,12.10.2022,
117,NekoTown,Дом GreatNeko. Остальным соболезную. ,GreatNeko,-11358,-5362,2000,-1422,-674,13.10.2022,
118,KEGO,,4erniy_Doctor,-2425,22000,1500,-303,2750,14.10.2022,
119,Территория Randomazik'a,,,17464,-2607,500,2185,-327,14.10.2022,https://vk.com/wall-131054616_87832
120,Elbryc,Територия для чила,Elbryc,-8485,21926,300,-1058,2739,14.10.2022,
121,Терра Приколистов,Лучшая терра на СП,errorchikk,-7974,-13633,1000,-987,-1694,16.10.2022,https://vk.com/gepe5?w=wall-131054616_87788
122,Редмафия,Терра Редмафии,RedMafia_,23333,-7250,2000,2920,-906,16.10.2022,
123,Лига,Ну а это уже секрет,KRbICa,-8100,1600,1000,-2050,1000,09.10.2022,https://vk.com/topic-131054616_48663772?post=4227
124,База Andryxaaa,Грибной остров,Andryxaaa,1155,23505,1500,144,2938,16.10.2022,https://vk.com/topic-131054616_48663772?post=4250
125,ValorantCiti-Pososali,"радианты, которые прибыли исполнить свою мечту",Hittomi,5555,16777,1500,700,2090,18.10.2022,
126,"Территория Опытной ""Л""",Имбуля,TIM_poperdim,1000,1800,800,800,1650,18.10.2022,https://vk.com/topic-131054616_48663772?post=4257
127,Чилл зона роквандала,запреточка,RockVandal,1450,-17650,2000,178,-2204,19.10.2022,
128,Rezdin,,Rezdin,9984,24319,1500,1258,3024,20.10.2022,
129,Лп 2ой район,личное пространство с творческой свободой для каждого.,_shizic_,22400,-122,1500,2800,-3,24.10.2022,
130,Дырямба,Ну и дыра...,KoTYarK,-830,22540,1000,-100,2800,25.10.2022,
131,Яма Баттист,Запретка, AmerigoBattista,4800,-24000,2000,600,-3000,03.11.2022,
132,ЧИЛ ЗОНА Wangis_,Очень крутой отдыхательный комплекс СП.,Wangis_,3201,-17067,1000,391,-2152,04.11.2022,
133,Ямантау,Правительственный бункер в снежных горах Ямантау.,_SimpleDun,-6250,9700,500,1210,-780,05.11.2022,
134,тера Proxladniy,я лох,proxladniy,21248,-9535,2000,2656,-1176,06.11.2022,
135,OverSide,,Sauri_,-15174,1629,1000,-1912,208,08.11.2022,
136,Гамбэр,,_Black_Sakura,-22783,-1284,1500,-2851,-164,09.11.2022,
137,Саунтгемптон,Входит в ТСКП. Дискорд мэра: Maykur#3192.,Maykur,-11500,-13500,1500,-1430,-1710,12.11.2022,https://vk.com/topic-131054616_48663772?offset=200
138,Частная территория Gantiskon,,Gantiskon,20884,-22924,2000,2610,-2865,12.11.2022,
139,терра Rilby,Ебейшая терра под фермы арты и т.п.,Rilby,20100,-118650,400,2510,-1480,12.11.2022,-
140,Это не терра фрайберга,Вы заебали это не терра фрайберга не берите от туда ресы,Toxic_DTV,-8625,-19051,1500,-1087,-2395,18.11.2022,https://vk.com/topic-131054616_48663772?post=4237
